,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Distrito
211,01/07/07,n.d.,n.d.,n.d.,n.d.,BILBAO
212,01/06/07,n.d.,n.d.,n.d.,n.d.,BILBAO
213,01/05/07,n.d.,n.d.,n.d.,n.d.,BILBAO
214,01/04/07,n.d.,n.d.,n.d.,n.d.,BILBAO
215,01/03/07,n.d.,n.d.,n.d.,n.d.,BILBAO
216,01/02/07,n.d.,n.d.,n.d.,n.d.,BILBAO
217,01/01/07,n.d.,n.d.,n.d.,n.d.,BILBAO
218,01/12/06,n.d.,n.d.,n.d.,n.d.,BILBAO
219,01/11/06,n.d.,n.d.,n.d.,n.d.,BILBAO
220,01/10/06,n.d.,n.d.,n.d.,n.d.,BILBAO
221,01/09/06,n.d.,n.d.,n.d.,n.d.,BILBAO
222,01/08/06,n.d.,n.d.,n.d.,n.d.,BILBAO
223,01/07/06,n.d.,n.d.,n.d.,n.d.,BILBAO
224,01/06/06,n.d.,n.d.,n.d.,n.d.,BILBAO
225,01/05/06,n.d.,n.d.,n.d.,n.d.,BILBAO
226,01/04/06,n.d.,n.d.,n.d.,n.d.,BILBAO
227,01/03/06,n.d.,n.d.,n.d.,n.d.,BILBAO
228,01/02/06,n.d.,n.d.,n.d.,n.d.,BILBAO
229,01/01/06,n.d.,n.d.,n.d.,n.d.,BILBAO
230,01/02/25,16.9,-1.3%,-0.6%,1.3%,Abando
231,01/01/25,17.1,"-1,00%",1.8%,1.5%,Abando
232,01/12/24,17.2,1.7%,4.2%,5.1%,Abando
233,01/11/24,16.9,1.1%,4.3%,8.9%,Abando
234,01/10/24,16.8,1.3%,"4,00%",9.1%,Abando
235,01/09/24,16.6,1.9%,1.9%,7.4%,Abando
236,01/08/24,16.3,0.7%,0.9%,6.1%,Abando
237,01/07/24,16.1,-0.7%,0.7%,7.5%,Abando
238,01/06/24,16.3,0.9%,-1.7%,9.1%,Abando
239,01/05/24,16.1,0.5%,-3.2%,9.5%,Abando
240,01/04/24,16.0,-3.1%,-4.8%,6.3%,Abando
241,01/03/24,16.5,-0.6%,0.8%,6.6%,Abando
242,01/02/24,16.6,-1.1%,6.9%,4.7%,Abando
243,01/01/24,16.8,2.6%,9.5%,"7,00%",Abando
244,01/12/23,16.4,5.4%,6.4%,7.1%,Abando
245,01/11/23,15.6,1.3%,1.6%,3.8%,Abando
246,01/10/23,15.4,-0.3%,2.4%,4.9%,Abando
247,01/09/23,15.4,0.7%,3.5%,4.6%,Abando
248,01/08/23,15.3,2.1%,4.1%,2.7%,Abando
249,01/07/23,15.0,0.7%,-0.5%,1.3%,Abando
250,01/06/23,14.9,1.3%,"-4,00%",-0.7%,Abando
251,01/05/23,14.7,-2.5%,-7.5%,"-2,00%",Abando
252,01/04/23,15.1,-2.8%,-4.1%,-1.8%,Abando
253,01/03/23,15.5,-2.4%,1.4%,1.4%,Abando
254,01/02/23,15.9,1.1%,"6,00%","6,00%",Abando
255,01/01/23,15.7,2.7%,7.4%,5.9%,Abando
256,01/12/22,15.3,"2,00%",3.9%,6.8%,Abando
257,01/11/22,15.0,2.4%,0.6%,2.5%,Abando
258,01/10/22,14.6,-0.6%,-1.2%,-1.4%,Abando
259,01/09/22,14.7,-1.1%,-1.8%,-1.8%,Abando
260,01/08/22,14.9,0.6%,-0.6%,-0.6%,Abando
261,01/07/22,14.8,-1.2%,-3.5%,0.7%,Abando
262,01/06/22,15.0,n.d.,"-2,00%",2.4%,Abando
263,01/05/22,15.0,-2.3%,n.d.,3.1%,Abando
264,01/04/22,15.4,0.4%,3.5%,5.8%,Abando
265,01/03/22,15.3,"2,00%",6.7%,4.9%,Abando
266,01/02/22,15.0,1.1%,2.5%,2.6%,Abando
267,01/01/22,14.8,3.5%,n.d.,1.6%,Abando
268,01/12/21,14.3,"-2,00%",-4.4%,-2.2%,Abando
269,01/11/21,14.6,-1.4%,-2.4%,-1.5%,Abando
270,01/10/21,14.8,"-1,00%",0.9%,"-1,00%",Abando
271,01/09/21,15.0,n.d.,2.4%,2.4%,Abando
272,01/08/21,15.0,"2,00%",3.1%,"2,00%",Abando
273,01/07/21,14.7,0.3%,1.3%,-0.6%,Abando
