"Renta personal media de la C.A. de Euskadi (euros) por barrios, tipo de renta y periodo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Renta disponible,16628,19379,19168,18313,18389,19203,19750,20486,20819,22143,21481,22264,25001
Aiete,Renta total,25965,29719,29394,27762,28026,29674,31409,31872,31874,37863,33256,35406,41818
,Renta del trabajo,17820,19493,19646,18491,18239,18277,18663,19059,19303,20267,18736,20956,22075
,Renta capital mobiliario,2804,3487,3049,2307,2316,3080,4090,3949,3493,7907,3594,3631,8212
,Renta capital inmobiliario,550,667,756,728,725,784,842,883,936,996,961,1019,1172
,Renta de actividades,2262,1975,1899,1806,1987,2180,2335,2297,2376,2431,2257,2546,2731
,Transferencias,2529,4097,4044,4430,4760,5353,5478,5685,5766,6262,7708,7254,7628
,Renta disponible,20644,24018,23489,21995,21986,23427,24908,25180,25151,29604,26191,27442,32719
Altza,Renta total,13633,16127,16356,15691,15713,16071,16400,16754,16986,17876,17939,18563,20044
,Renta del trabajo,9077,10347,10350,9549,9494,9389,9706,9924,10236,10728,9618,10438,11365
,Renta capital mobiliario,578,784,583,536,494,445,402,406,327,373,294,419,506
,Renta capital inmobiliario,110,151,181,181,190,202,215,214,220,245,243,252,276
,Renta de actividades,863,760,732,668,726,779,788,793,815,843,795,775,830
,Transferencias,3004,4085,4509,4758,4809,5256,5290,5417,5388,5686,6989,6679,7066
,Renta disponible,11904,14259,14423,13737,13590,13976,14316,14573,14796,15486,15573,15982,17395
Amara Berri,Renta total,20769,24076,23950,23030,23009,24017,24155,24832,25343,27749,26298,27234,29235
,Renta del trabajo,12223,14087,14340,13736,13597,13796,14007,14345,14557,15350,14113,14787,15944
